step,prevalence
0.000000000000000000e+00,3.333333333333333547e-03
1.000000000000000000e+00,3.466666666666666941e-03
2.000000000000000000e+00,3.555555555555555726e-03
3.000000000000000000e+00,3.733333333333333295e-03
4.000000000000000000e+00,4.000000000000000083e-03
5.000000000000000000e+00,4.088888888888889302e-03
6.000000000000000000e+00,4.133333333333333477e-03
7.000000000000000000e+00,4.311111111111111914e-03
8.000000000000000000e+00,4.622222222222222877e-03
9.000000000000000000e+00,4.844444444444443755e-03
1.000000000000000000e+01,4.977777777777777149e-03
1.100000000000000000e+01,5.155555555555554718e-03
1.200000000000000000e+01,5.333333333333334023e-03
1.300000000000000000e+01,5.688888888888887427e-03
1.400000000000000000e+01,5.911111111111111774e-03
1.500000000000000000e+01,6.311111111111111088e-03
1.600000000000000000e+01,6.266666666666666913e-03
1.700000000000000000e+01,6.400000000000000307e-03
1.800000000000000000e+01,6.622222222222222052e-03
1.900000000000000000e+01,6.933333333333333015e-03
2.000000000000000000e+01,7.155555555555555627e-03
2.100000000000000000e+01,7.511111111111111634e-03
2.200000000000000000e+01,7.866666666666665905e-03
2.300000000000000000e+01,8.088888888888888518e-03
2.400000000000000000e+01,8.222222222222222779e-03
2.500000000000000000e+01,8.399999999999999481e-03
2.600000000000000000e+01,8.666666666666666269e-03
2.700000000000000000e+01,9.111111111111109759e-03
2.800000000000000000e+01,9.511111111111109073e-03
2.900000000000000000e+01,9.822222222222223506e-03
3.000000000000000000e+01,1.017777777777777691e-02
3.100000000000000000e+01,1.000000000000000021e-02
3.200000000000000000e+01,1.017777777777777864e-02
3.300000000000000000e+01,1.035555555555555535e-02
3.400000000000000000e+01,1.097777777777777727e-02
3.500000000000000000e+01,1.111111111111110980e-02
3.600000000000000000e+01,1.151111111111111432e-02
3.700000000000000000e+01,1.208888888888889034e-02
3.800000000000000000e+01,1.253333333333333383e-02
3.900000000000000000e+01,1.311111111111110811e-02
4.000000000000000000e+01,1.386666666666666603e-02
4.100000000000000000e+01,1.413333333333333455e-02
4.200000000000000000e+01,1.426666666666666881e-02
4.300000000000000000e+01,1.484444444444444310e-02
4.400000000000000000e+01,1.519999999999999823e-02
4.500000000000000000e+01,1.555555555555555337e-02
4.600000000000000000e+01,1.631111111111111303e-02
4.700000000000000000e+01,1.666666666666666644e-02
4.800000000000000000e+01,1.773333333333333359e-02
4.900000000000000000e+01,1.839999999999999275e-02
5.000000000000000000e+01,1.888888888888888909e-02
5.100000000000000000e+01,1.946666666666667031e-02
5.200000000000000000e+01,2.031111111111110964e-02
5.300000000000000000e+01,2.155555555555555350e-02
5.400000000000000000e+01,2.217777777777777543e-02
5.500000000000000000e+01,2.275555555555556012e-02
5.600000000000000000e+01,2.324444444444444258e-02
5.700000000000000000e+01,2.457777777777777478e-02
5.800000000000000000e+01,2.595555555555555810e-02
5.900000000000000000e+01,2.746666666666666354e-02
6.000000000000000000e+01,2.791111111111110876e-02
6.100000000000000000e+01,2.862222222222222251e-02
6.200000000000000000e+01,2.946666666666666531e-02
6.300000000000000000e+01,2.964444444444444202e-02
6.400000000000000000e+01,3.093333333333333005e-02
6.500000000000000000e+01,3.168888888888889838e-02
6.600000000000000000e+01,3.302222222222221670e-02
6.700000000000000000e+01,3.404444444444443968e-02
6.800000000000000000e+01,3.475555555555555343e-02
6.900000000000000000e+01,3.573333333333333223e-02
7.000000000000000000e+01,3.662222222222221574e-02
7.100000000000000000e+01,3.804444444444444323e-02
7.200000000000000000e+01,3.866666666666666863e-02
7.300000000000000000e+01,4.017777777777777753e-02
7.400000000000000000e+01,4.128888888888888886e-02
7.500000000000000000e+01,4.244444444444444436e-02
7.600000000000000000e+01,4.328888888888889064e-02
7.700000000000000000e+01,4.448888888888889032e-02
7.800000000000000000e+01,4.537777777777778077e-02
7.900000000000000000e+01,4.613333333333333175e-02
8.000000000000000000e+01,4.653333333333332933e-02
8.100000000000000000e+01,4.800000000000000100e-02
8.200000000000000000e+01,4.906666666666666815e-02
8.300000000000000000e+01,5.044444444444444453e-02
8.400000000000000000e+01,5.151111111111111168e-02
8.500000000000000000e+01,5.333333333333333676e-02
8.600000000000000000e+01,5.497777777777777819e-02
8.700000000000000000e+01,5.617777777777777787e-02
8.800000000000000000e+01,5.791111111111112153e-02
8.900000000000000000e+01,5.875555555555556086e-02
9.000000000000000000e+01,5.982222222222223496e-02
9.100000000000000000e+01,5.991111111111112331e-02
9.200000000000000000e+01,6.093333333333333240e-02
9.300000000000000000e+01,6.177777777777778562e-02
9.400000000000000000e+01,6.324444444444443647e-02
9.500000000000000000e+01,6.493333333333332902e-02
9.600000000000000000e+01,6.595555555555555893e-02
9.700000000000000000e+01,6.768888888888889566e-02
9.800000000000000000e+01,6.959999999999998133e-02
9.900000000000000000e+01,7.133333333333331805e-02
1.000000000000000000e+02,7.257777777777778272e-02
1.010000000000000000e+02,7.586666666666666559e-02
1.020000000000000000e+02,7.693333333333333968e-02
1.030000000000000000e+02,7.928888888888889486e-02
1.040000000000000000e+02,8.039999999999999925e-02
1.050000000000000000e+02,8.186666666666665704e-02
1.060000000000000000e+02,8.302222222222224723e-02
1.070000000000000000e+02,8.506666666666666543e-02
1.080000000000000000e+02,8.684444444444446021e-02
1.090000000000000000e+02,8.808888888888888324e-02
1.100000000000000000e+02,8.991111111111110832e-02
1.110000000000000000e+02,9.173333333333331951e-02
1.120000000000000000e+02,9.235555555555553797e-02
1.130000000000000000e+02,9.386666666666663994e-02
1.140000000000000000e+02,9.595555555555555782e-02
1.150000000000000000e+02,9.875555555555555476e-02
1.160000000000000000e+02,1.016888888888889120e-01
1.170000000000000000e+02,1.035111111111111093e-01
1.180000000000000000e+02,1.052444444444444460e-01
1.190000000000000000e+02,1.068444444444444502e-01
1.200000000000000000e+02,1.092444444444444496e-01
1.210000000000000000e+02,1.096888888888888636e-01
1.220000000000000000e+02,1.120888888888889184e-01
1.230000000000000000e+02,1.119111111111111140e-01
1.240000000000000000e+02,1.122222222222222093e-01
1.250000000000000000e+02,1.135999999999999927e-01
1.260000000000000000e+02,1.159555555555555756e-01
1.270000000000000000e+02,1.180000000000000077e-01
1.280000000000000000e+02,1.201333333333333420e-01
1.290000000000000000e+02,1.207999999999999907e-01
1.300000000000000000e+02,1.225777777777777716e-01
1.310000000000000000e+02,1.240000000000000130e-01
1.320000000000000000e+02,1.252000000000000335e-01
1.330000000000000000e+02,1.264444444444444426e-01
1.340000000000000000e+02,1.279111111111111143e-01
1.350000000000000000e+02,1.293333333333333557e-01
1.360000000000000000e+02,1.304444444444444462e-01
1.370000000000000000e+02,1.314222222222222181e-01
1.380000000000000000e+02,1.324000000000000177e-01
1.390000000000000000e+02,1.334666666666666779e-01
1.400000000000000000e+02,1.357333333333333447e-01
1.410000000000000000e+02,1.368888888888888933e-01
1.420000000000000000e+02,1.396000000000000296e-01
1.430000000000000000e+02,1.401333333333333597e-01
1.440000000000000000e+02,1.423999999999999710e-01
1.450000000000000000e+02,1.424444444444444569e-01
1.460000000000000000e+02,1.427555555555555800e-01
1.470000000000000000e+02,1.440444444444444472e-01
1.480000000000000000e+02,1.456444444444444375e-01
1.490000000000000000e+02,1.466222222222222094e-01
1.500000000000000000e+02,1.468888888888888744e-01
1.510000000000000000e+02,1.491555555555555690e-01
1.520000000000000000e+02,1.499111111111111339e-01
1.530000000000000000e+02,1.510222222222222244e-01
1.540000000000000000e+02,1.520000000000000240e-01
1.550000000000000000e+02,1.531555555555555448e-01
1.560000000000000000e+02,1.545777777777777862e-01
1.570000000000000000e+02,1.558222222222222231e-01
1.580000000000000000e+02,1.565777777777777602e-01
1.590000000000000000e+02,1.570222222222222297e-01
1.600000000000000000e+02,1.597333333333333660e-01
1.610000000000000000e+02,1.596444444444444499e-01
1.620000000000000000e+02,1.597333333333333383e-01
1.630000000000000000e+02,1.606666666666666521e-01
1.640000000000000000e+02,1.607555555555555682e-01
1.650000000000000000e+02,1.614222222222222725e-01
1.660000000000000000e+02,1.626666666666666816e-01
1.670000000000000000e+02,1.635555555555555374e-01
1.680000000000000000e+02,1.644000000000000183e-01
1.690000000000000000e+02,1.644000000000000183e-01
1.700000000000000000e+02,1.659555555555555506e-01
1.710000000000000000e+02,1.659555555555555506e-01
1.720000000000000000e+02,1.669777777777777805e-01
1.730000000000000000e+02,1.666666666666666297e-01
1.740000000000000000e+02,1.677333333333333454e-01
1.750000000000000000e+02,1.698222222222222078e-01
1.760000000000000000e+02,1.704888888888889120e-01
1.770000000000000000e+02,1.707111111111110913e-01
1.780000000000000000e+02,1.705777777777778004e-01
1.790000000000000000e+02,1.703111111111111076e-01
1.800000000000000000e+02,1.704888888888888843e-01
1.810000000000000000e+02,1.711555555555555608e-01
1.820000000000000000e+02,1.724000000000000254e-01
1.830000000000000000e+02,1.736444444444444068e-01
1.840000000000000000e+02,1.736000000000000043e-01
1.850000000000000000e+02,1.739555555555555855e-01
1.860000000000000000e+02,1.749333333333333296e-01
1.870000000000000000e+02,1.743999999999999995e-01
1.880000000000000000e+02,1.736000000000000043e-01
1.890000000000000000e+02,1.737333333333333507e-01
1.900000000000000000e+02,1.736444444444444346e-01
1.910000000000000000e+02,1.737777777777777810e-01
1.920000000000000000e+02,1.733333333333333393e-01
1.930000000000000000e+02,1.731555555555555626e-01
1.940000000000000000e+02,1.716888888888888631e-01
1.950000000000000000e+02,1.714222222222222258e-01
1.960000000000000000e+02,1.719999999999999862e-01
1.970000000000000000e+02,1.720000000000000140e-01
1.980000000000000000e+02,1.734222222222222276e-01
1.990000000000000000e+02,1.723555555555555396e-01
2.000000000000000000e+02,1.722666666666666235e-01
2.010000000000000000e+02,1.720444444444444443e-01
2.020000000000000000e+02,1.710666666666666447e-01
2.030000000000000000e+02,1.714222222222222536e-01
2.040000000000000000e+02,1.711555555555555330e-01
2.050000000000000000e+02,1.704888888888888843e-01
2.060000000000000000e+02,1.691111111111111009e-01
2.070000000000000000e+02,1.693777777777777660e-01
2.080000000000000000e+02,1.684888888888888547e-01
2.090000000000000000e+02,1.679111111111111221e-01
2.100000000000000000e+02,1.660000000000000087e-01
2.110000000000000000e+02,1.643111111111111300e-01
2.120000000000000000e+02,1.632444444444444698e-01
2.130000000000000000e+02,1.626222222222222236e-01
2.140000000000000000e+02,1.620444444444444909e-01
2.150000000000000000e+02,1.607111111111110824e-01
2.160000000000000000e+02,1.603111111111110987e-01
2.170000000000000000e+02,1.584888888888889014e-01
2.180000000000000000e+02,1.578666666666666829e-01
2.190000000000000000e+02,1.567999999999999949e-01
2.200000000000000000e+02,1.562222222222222068e-01
2.210000000000000000e+02,1.549333333333333396e-01
2.220000000000000000e+02,1.547111111111111326e-01
2.230000000000000000e+02,1.537777777777777632e-01
2.240000000000000000e+02,1.534222222222222098e-01
2.250000000000000000e+02,1.526666666666666727e-01
2.260000000000000000e+02,1.519111111111111356e-01
2.270000000000000000e+02,1.509333333333333360e-01
2.280000000000000000e+02,1.496000000000000107e-01
2.290000000000000000e+02,1.481777777777777694e-01
2.300000000000000000e+02,1.468888888888889022e-01
2.310000000000000000e+02,1.466666666666666674e-01
2.320000000000000000e+02,1.449777777777777887e-01
2.330000000000000000e+02,1.438666666666666705e-01
2.340000000000000000e+02,1.420444444444444454e-01
2.350000000000000000e+02,1.408000000000000085e-01
2.360000000000000000e+02,1.403111111111111087e-01
2.370000000000000000e+02,1.392888888888888788e-01
2.380000000000000000e+02,1.376000000000000001e-01
2.390000000000000000e+02,1.376000000000000001e-01
2.400000000000000000e+02,1.368888888888888933e-01
2.410000000000000000e+02,1.357777777777777750e-01
2.420000000000000000e+02,1.344888888888889078e-01
2.430000000000000000e+02,1.341777777777777569e-01
2.440000000000000000e+02,1.320888888888888946e-01
2.450000000000000000e+02,1.311111111111111227e-01
2.460000000000000000e+02,1.298666666666666580e-01
2.470000000000000000e+02,1.294666666666666466e-01
2.480000000000000000e+02,1.290222222222222048e-01
2.490000000000000000e+02,1.278666666666666563e-01
2.500000000000000000e+02,1.269333333333333147e-01
2.510000000000000000e+02,1.259111111111111403e-01
2.520000000000000000e+02,1.239555555555555688e-01
2.530000000000000000e+02,1.227555555555555622e-01
2.540000000000000000e+02,1.215555555555555556e-01
2.550000000000000000e+02,1.201777777777777723e-01
2.560000000000000000e+02,1.187555555555555448e-01
2.570000000000000000e+02,1.178666666666666474e-01
2.580000000000000000e+02,1.171999999999999986e-01
2.590000000000000000e+02,1.165777777777777940e-01
2.600000000000000000e+02,1.155111111111111338e-01
2.610000000000000000e+02,1.145333333333333342e-01
2.620000000000000000e+02,1.131111111111111206e-01
2.630000000000000000e+02,1.120888888888888907e-01
2.640000000000000000e+02,1.124444444444444441e-01
2.650000000000000000e+02,1.116444444444444628e-01
2.660000000000000000e+02,1.109333333333333421e-01
2.670000000000000000e+02,1.098666666666666542e-01
2.680000000000000000e+02,1.096888888888888913e-01
2.690000000000000000e+02,1.082666666666666777e-01
2.700000000000000000e+02,1.078666666666666801e-01
2.710000000000000000e+02,1.066222222222222155e-01
2.720000000000000000e+02,1.061333333333333573e-01
2.730000000000000000e+02,1.056444444444444575e-01
2.740000000000000000e+02,1.043555555555555486e-01
2.750000000000000000e+02,1.040444444444444394e-01
2.760000000000000000e+02,1.027111111111111280e-01
2.770000000000000000e+02,1.016444444444444539e-01
2.780000000000000000e+02,1.008888888888888752e-01
2.790000000000000000e+02,9.991111111111110332e-02
2.800000000000000000e+02,9.835555555555552942e-02
2.810000000000000000e+02,9.737777777777777144e-02
2.820000000000000000e+02,9.639999999999999958e-02
2.830000000000000000e+02,9.551111111111110219e-02
2.840000000000000000e+02,9.453333333333333033e-02
2.850000000000000000e+02,9.404444444444443052e-02
2.860000000000000000e+02,9.337777777777776789e-02
2.870000000000000000e+02,9.235555555555553797e-02
2.880000000000000000e+02,9.142222222222222416e-02
2.890000000000000000e+02,9.026666666666667560e-02
2.900000000000000000e+02,8.977777777777776191e-02
2.910000000000000000e+02,8.933333333333332016e-02
2.920000000000000000e+02,8.888888888888889228e-02
2.930000000000000000e+02,8.888888888888889228e-02
2.940000000000000000e+02,8.831111111111113188e-02
2.950000000000000000e+02,8.840000000000000635e-02
2.960000000000000000e+02,8.751111111111109508e-02
2.970000000000000000e+02,8.688888888888887663e-02
2.980000000000000000e+02,8.542222222222223271e-02
2.990000000000000000e+02,8.431111111111110057e-02
3.000000000000000000e+02,8.395555555555556104e-02
3.010000000000000000e+02,8.257777777777777772e-02
3.020000000000000000e+02,8.204444444444443374e-02
3.030000000000000000e+02,8.066666666666666430e-02
3.040000000000000000e+02,7.995555555555557137e-02
3.050000000000000000e+02,7.884444444444443922e-02
3.060000000000000000e+02,7.808888888888887436e-02
3.070000000000000000e+02,7.715555555555556055e-02
3.080000000000000000e+02,7.644444444444446762e-02
3.090000000000000000e+02,7.533333333333333548e-02
3.100000000000000000e+02,7.480000000000000537e-02
3.110000000000000000e+02,7.408888888888888469e-02
3.120000000000000000e+02,7.337777777777777788e-02
3.130000000000000000e+02,7.226666666666667349e-02
3.140000000000000000e+02,7.128888888888888775e-02
3.150000000000000000e+02,7.062222222222221124e-02
3.160000000000000000e+02,6.995555555555554861e-02
3.170000000000000000e+02,6.875555555555554199e-02
3.180000000000000000e+02,6.822222222222222576e-02
3.190000000000000000e+02,6.719999999999999585e-02
3.200000000000000000e+02,6.666666666666665186e-02
3.210000000000000000e+02,6.653333333333334709e-02
3.220000000000000000e+02,6.617777777777779369e-02
3.230000000000000000e+02,6.546666666666667300e-02
3.240000000000000000e+02,6.497777777777777319e-02
3.250000000000000000e+02,6.391111111111111298e-02
3.260000000000000000e+02,6.315555555555556200e-02
3.270000000000000000e+02,6.195555555555556232e-02
3.280000000000000000e+02,6.115555555555555328e-02
3.290000000000000000e+02,6.040000000000000230e-02
3.300000000000000000e+02,5.924444444444443986e-02
3.310000000000000000e+02,5.862222222222222140e-02
3.320000000000000000e+02,5.791111111111110765e-02
3.330000000000000000e+02,5.711111111111110555e-02
3.340000000000000000e+02,5.591111111111111281e-02
3.350000000000000000e+02,5.488888888888888290e-02
3.360000000000000000e+02,5.426666666666665750e-02
3.370000000000000000e+02,5.342222222222222511e-02
3.380000000000000000e+02,5.275555555555556247e-02
3.390000000000000000e+02,5.173333333333333256e-02
3.400000000000000000e+02,5.115555555555555134e-02
3.410000000000000000e+02,5.031111111111110507e-02
3.420000000000000000e+02,5.013333333333333530e-02
3.430000000000000000e+02,4.924444444444444485e-02
3.440000000000000000e+02,4.897777777777777286e-02
3.450000000000000000e+02,4.817777777777777770e-02
3.460000000000000000e+02,4.706666666666666637e-02
3.470000000000000000e+02,4.684444444444444550e-02
3.480000000000000000e+02,4.604444444444444340e-02
3.490000000000000000e+02,4.533333333333333659e-02
3.500000000000000000e+02,4.502222222222222736e-02
3.510000000000000000e+02,4.475555555555555537e-02
3.520000000000000000e+02,4.413333333333332997e-02
3.530000000000000000e+02,4.328888888888889064e-02
3.540000000000000000e+02,4.248888888888888854e-02
3.550000000000000000e+02,4.195555555555555843e-02
3.560000000000000000e+02,4.124444444444444469e-02
3.570000000000000000e+02,4.079999999999999599e-02
3.580000000000000000e+02,4.048888888888888676e-02
3.590000000000000000e+02,4.013333333333333336e-02
3.600000000000000000e+02,3.982222222222221719e-02
3.610000000000000000e+02,3.951111111111111490e-02
3.620000000000000000e+02,3.906666666666666621e-02
3.630000000000000000e+02,3.897777777777777786e-02
3.640000000000000000e+02,3.848888888888889193e-02
3.650000000000000000e+02,3.804444444444444323e-02
3.660000000000000000e+02,3.755555555555555730e-02
3.670000000000000000e+02,3.706666666666667137e-02
3.680000000000000000e+02,3.653333333333333433e-02
3.690000000000000000e+02,3.586666666666667169e-02
3.700000000000000000e+02,3.533333333333332771e-02
3.710000000000000000e+02,3.480000000000001148e-02
3.720000000000000000e+02,3.431111111111110473e-02
3.730000000000000000e+02,3.386666666666666992e-02
3.740000000000000000e+02,3.328888888888888870e-02
3.750000000000000000e+02,3.302222222222222364e-02
3.760000000000000000e+02,3.248888888888888660e-02
3.770000000000000000e+02,3.191111111111111232e-02
3.780000000000000000e+02,3.133333333333333109e-02
3.790000000000000000e+02,3.088888888888889281e-02
3.800000000000000000e+02,3.031111111111110812e-02
3.810000000000000000e+02,3.013333333333333489e-02
3.820000000000000000e+02,2.968888888888888619e-02
3.830000000000000000e+02,2.937777777777778043e-02
3.840000000000000000e+02,2.902222222222222009e-02
3.850000000000000000e+02,2.875555555555555504e-02
3.860000000000000000e+02,2.862222222222222251e-02
3.870000000000000000e+02,2.844444444444443887e-02
3.880000000000000000e+02,2.795555555555555641e-02
3.890000000000000000e+02,2.746666666666666007e-02
3.900000000000000000e+02,2.733333333333333101e-02
3.910000000000000000e+02,2.702222222222222178e-02
3.920000000000000000e+02,2.640000000000000333e-02
3.930000000000000000e+02,2.608888888888889063e-02
3.940000000000000000e+02,2.564444444444444540e-02
3.950000000000000000e+02,2.568888888888888958e-02
3.960000000000000000e+02,2.515555555555555600e-02
3.970000000000000000e+02,2.466666666666666660e-02
3.980000000000000000e+02,2.435555555555555737e-02
3.990000000000000000e+02,2.422222222222222485e-02
